,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,split
49, 1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0,0.7714190973369827
50, 1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0,-0.9705638707418163
51, 5 Series,2014,11000,Automatic,84816,Diesel,30,62.8,2.0,1.6976973816455985
53, 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0,0.7206731702072285
54, 3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0,0.7564064610129331
55, X1,2017,14000,Automatic,54120,Diesel,30,65.7,2.0,0.7484757745366908
56, X1,2017,14000,Manual,20925,Diesel,150,68.9,2.0,-1.0376338068923314
57, 3 Series,2016,12750,Manual,30521,Diesel,20,68.9,2.0,-0.19259508976887996
59, 1 Series,2015,11100,Manual,11524,Diesel,0,83.1,1.5,0.38639269023122097
60, 1 Series,2017,12700,Manual,21809,Petrol,145,53.3,1.5,0.9504562257703983
61, 1 Series,2017,14500,Automatic,27245,Diesel,145,68.9,2.0,-0.20556177238846166
62, 3 Series,2013,12750,Automatic,35736,Diesel,125,58.9,2.0,1.6443167521181767
63, X1,2017,14100,Automatic,55782,Diesel,145,65.7,2.0,-0.6363735110788586
64, 1 Series,2016,10800,Manual,26404,Petrol,125,53.3,1.5,-1.0658079879688915
65, 1 Series,2016,13000,Manual,26631,Petrol,125,52.3,1.5,-0.32123301003654436
66, 1 Series,2016,12500,Manual,24111,Petrol,145,47.1,1.6,-0.7770172087453616
67, 3 Series,2017,13600,Manual,22763,Petrol,145,48.7,2.0,-0.24235462364204124
69, 5 Series,2016,15600,Automatic,35474,Diesel,125,60.1,2.0,-0.5733622115967157
71, 1 Series,2018,11700,Manual,30273,Diesel,145,53.3,1.5,-1.478247398461833
72, 2 Series,2017,10900,Manual,62021,Diesel,145,65.7,2.0,-0.5954160640147231
73, 5 Series,2016,14400,Automatic,51552,Diesel,30,62.8,2.0,-2.2766475453137685
74, 1 Series,2016,11100,Manual,29508,Petrol,125,53.3,1.5,0.31069701389164184
75, 1 Series,2017,11100,Manual,30865,Diesel,145,72.4,1.5,-0.75197640288963
76, 5 Series,2014,12400,Automatic,46356,Diesel,30,62.8,2.0,0.15948479978082045
77, 1 Series,2016,12800,Manual,18343,Diesel,20,70.6,1.5,-0.7636397260720579
78, 5 Series,2014,15000,Automatic,13858,Diesel,125,57.6,2.0,0.10273853990789668
80, X3,2016,21750,Automatic,19083,Diesel,150,54.3,2.0,-0.8403767805565614
81, 2 Series,2017,13900,Automatic,46281,Petrol,125,51.4,1.5,-1.7504769168393002
82, X1,2017,14000,Automatic,54183,Diesel,150,65.7,2.0,-2.13343217433533
83, X1,2017,15200,Automatic,36701,Diesel,30,65.7,2.0,0.030841905059909403
84, 3 Series,2017,13500,Automatic,48082,Petrol,150,51.4,2.0,-0.5950846183833436
85, X1,2016,12150,Manual,77482,Diesel,20,68.9,2.0,-1.2260906484484755
87, 5 Series,2016,14000,Automatic,39235,Diesel,30,62.8,2.0,-0.41645725068869427
89, 1 Series,2015,15499,Semi-Auto,20000,Diesel,125,60.1,2.0,0.018705912353079456
90, 2 Series,2017,13000,Semi-Auto,34971,Diesel,150,72.4,1.5,-1.3290477447913378
91, 1 Series,2014,10600,Semi-Auto,44900,Diesel,30,64.2,2.0,0.6563030464567905
92, X3,2017,23000,Semi-Auto,16945,Diesel,150,54.3,2.0,0.5910489054762336
93, M4,2016,29998,Semi-Auto,34209,Petrol,300,34.0,3.0,0.24348276948925987
94, 1 Series,2017,12498,Manual,14138,Diesel,20,72.4,1.5,0.555996802920946
96, X1,2017,17800,Automatic,31238,Diesel,145,55.4,2.0,0.9845355722958586
98, 1 Series,2017,11400,Manual,26265,Diesel,0,83.1,1.5,-0.42120511615735323
101, 3 Series,2016,16300,Automatic,34623,Diesel,125,57.6,2.0,-0.044821781746670016
106, 5 Series,2015,10900,Automatic,79563,Diesel,125,60.1,2.0,1.0693120142548236
107, 3 Series,2016,12200,Manual,34842,Diesel,30,67.3,2.0,-0.28694128729138973
109, 2 Series,2015,9100,Manual,40789,Diesel,0,74.3,1.5,1.191794235467743
110, 3 Series,2017,12600,Automatic,66743,Diesel,30,67.3,2.0,-0.5818486242188592
112, 1 Series,2016,11700,Manual,21390,Diesel,20,72.4,1.5,-2.151124872257108
113, 3 Series,2017,12450,Automatic,72065,Diesel,20,70.6,2.0,1.1954018459594988
114, 5 Series,2016,13500,Automatic,62444,Diesel,125,60.1,2.0,-0.9565474635151389
116, X1,2017,16700,Automatic,34666,Diesel,145,65.7,2.0,0.33613806142033414
119, X1,2017,14700,Manual,38405,Diesel,145,68.9,2.0,-2.151857487501885
120, 3 Series,2018,19000,Automatic,20681,Diesel,145,64.2,2.0,-0.9944643394500973
122, X3,2016,19000,Automatic,42691,Diesel,145,54.3,2.0,-0.2175040799741806
125, 5 Series,2018,22600,Automatic,23195,Diesel,145,65.7,2.0,0.08001918908846807
128, 3 Series,2015,9750,Manual,56038,Diesel,20,68.9,2.0,0.48196691270201863
129, 3 Series,2017,10900,Automatic,78345,Diesel,0,74.3,2.0,1.1957400218318002
130, X4,2016,21400,Automatic,31084,Diesel,145,54.3,2.0,-0.4950807953703252
131, 1 Series,2017,14600,Automatic,5615,Petrol,145,58.9,1.5,1.442584434530134
133, X4,2017,22500,Automatic,35016,Diesel,150,54.3,2.0,0.04464537931666297
135, X1,2017,14800,Manual,31518,Diesel,145,60.1,2.0,-0.4520814203781972
136, 1 Series,2016,9900,Manual,44008,Diesel,0,83.1,1.5,0.5365004709688184
137, 2 Series,2016,9500,Manual,59509,Diesel,20,68.9,2.0,0.4628997916882419
138, 3 Series,2017,17950,Automatic,43703,Other,140,134.5,2.0,0.5931428238929076
139, 1 Series,2016,14200,Automatic,36858,Diesel,125,60.1,2.0,-0.06756722565653767
140, 1 Series,2016,12100,Automatic,25786,Diesel,0,74.3,2.0,-1.4724011026482138
142, 1 Series,2016,8800,Manual,51002,Diesel,0,83.1,1.5,-0.33048683316167615
143, 1 Series,2017,15000,Automatic,26052,Diesel,145,68.9,2.0,-2.4700461501815543
146, 1 Series,2016,13400,Manual,18055,Petrol,125,52.3,1.5,-0.07393966240716958
147, 3 Series,2014,9900,Automatic,63223,Diesel,20,68.9,2.0,-0.6675954302609015
149, 4 Series,2018,16900,Automatic,27133,Petrol,145,44.8,2.0,1.349284198695572
151, X1,2013,8750,Manual,80625,Diesel,160,51.4,2.0,-1.5536235585874936
152, 3 Series,2017,17000,Automatic,31501,Other,0,134.5,2.0,0.17649188393947965
153, 1 Series,2016,13750,Automatic,8707,Petrol,30,55.5,1.5,-0.10147396665275357
155, 4 Series,2017,16000,Manual,16359,Petrol,145,46.3,2.0,-0.052420785859134914
156, 4 Series,2017,16600,Automatic,46913,Diesel,145,65.7,2.0,-0.18533886032708016
158, 4 Series,2017,16750,Manual,24882,Petrol,145,46.3,2.0,-0.9436478714528198
160, 3 Series,2018,15700,Automatic,29394,Petrol,145,48.7,2.0,0.17564745316773292
161, 5 Series,2016,12600,Manual,59528,Diesel,125,60.1,2.0,1.9921668111279434
162, 2 Series,2016,14600,Manual,15577,Petrol,160,44.1,2.0,0.2292895981000172
164, 3 Series,2017,16900,Automatic,12330,Diesel,30,64.2,2.0,-1.0274213014228084
167, 2 Series,2020,27998,Manual,1580,Petrol,150,43.5,1.5,0.9537988251154841
171, 1 Series,2020,31998,Semi-Auto,1560,Diesel,150,48.7,2.0,1.1818853181972035
172, X2,2020,29998,Manual,1850,Diesel,150,49.6,2.0,0.21210014571675634
174, X4,2019,33998,Semi-Auto,7272,Diesel,150,42.8,2.0,0.3344902742483324
175, 1 Series,2017,14995,Manual,19866,Diesel,30,65.7,2.0,-0.4216716773547865
176, 4 Series,2016,17995,Semi-Auto,22476,Petrol,145,48.7,2.0,-1.2722885123717858
181, 3 Series,2017,16998,Semi-Auto,8096,Petrol,145,51.4,2.0,0.3654731144988102
183, X6,2017,29498,Semi-Auto,40429,Diesel,200,47.1,3.0,0.33515413383329906
185, 1 Series,2016,19498,Semi-Auto,33043,Petrol,200,39.8,3.0,-1.22001754991881
186, X1,2016,17998,Semi-Auto,50378,Diesel,125,57.6,2.0,0.05713734256297721
188, X1,2013,8298,Manual,69020,Diesel,125,57.6,2.0,0.5051917279859571
191, 3 Series,2019,21898,Semi-Auto,5761,Diesel,150,55.4,2.0,-0.8203619156550002
195, 2 Series,2014,10498,Manual,52091,Diesel,125,58.9,2.0,-0.892701882939471
196, 1 Series,2019,19998,Semi-Auto,4812,Petrol,145,47.9,2.0,0.18344631180121418
197, X1,2016,16698,Semi-Auto,37272,Petrol,160,44.8,2.0,-0.17174401476988613
201, 1 Series,2017,14698,Semi-Auto,24008,Petrol,145,55.5,1.5,1.5359509346181066
203, X5,2015,27998,Automatic,24188,Diesel,200,47.1,3.0,1.6555077637538687
204, X5,2015,21498,Automatic,59216,Diesel,200,47.9,3.0,0.04512730418371372
205, 1 Series,2017,19498,Manual,21171,Petrol,260,36.2,3.0,0.53228687856192
206, 1 Series,2017,14498,Manual,24259,Petrol,145,52.3,1.5,-0.0963267684331059
207, 5 Series,2017,22998,Semi-Auto,19379,Diesel,145,65.7,2.0,1.7146231647411831
208, 1 Series,2017,14498,Manual,20790,Diesel,145,70.6,1.5,-1.298748610064611
209, 5 Series,2019,29898,Semi-Auto,2743,Diesel,145,60.1,2.0,-0.12379973859107148
210, 3 Series,2019,22998,Semi-Auto,6000,Petrol,145,48.7,2.0,0.7985173977079945
212, 4 Series,2019,29898,Semi-Auto,101,Diesel,145,60.1,2.0,1.4250072526452202
213, 5 Series,2017,20498,Semi-Auto,12725,Diesel,145,68.9,2.0,0.46125715257056454
214, 3 Series,2019,27650,Semi-Auto,18200,Diesel,150,48.7,2.0,0.28278764647573135
215, Z4,2016,18650,Semi-Auto,25300,Petrol,205,41.5,2.0,0.2998392816287968
216, 4 Series,2018,22995,Automatic,7200,Petrol,145,48.7,2.0,0.05709017705051149
217, X6,2018,36995,Semi-Auto,6100,Diesel,145,47.1,3.0,-0.24716720849369087
218, 5 Series,2018,26995,Automatic,6800,Diesel,145,68.9,2.0,2.0878997522929246
219, 1 Series,2013,11995,Manual,31600,Diesel,125,57.6,2.0,-2.1474570155993553
220, 5 Series,2018,25995,Semi-Auto,8700,Diesel,145,49.6,2.0,0.9650086439438277
222, 3 Series,2018,21495,Semi-Auto,16452,Petrol,150,48.7,2.0,-1.1752865153379062
224, 5 Series,2019,34498,Automatic,6775,Diesel,145,51.4,3.0,-0.5386136950305254
225, 1 Series,2019,18498,Semi-Auto,11234,Diesel,145,68.9,2.0,-0.6446347028716412
228, X5,2016,34498,Automatic,17303,Hybrid,0,85.6,2.0,0.47262773047414286
230, 3 Series,2016,18498,Semi-Auto,36501,Diesel,145,53.3,3.0,0.7904095125799607
232, X1,2017,21498,Semi-Auto,14418,Diesel,145,55.4,2.0,0.01289789239293537
233, X1,2017,18500,Semi-Auto,12160,Diesel,145,65.7,2.0,-1.7237926339262484
234, X3,2018,31000,Semi-Auto,20290,Diesel,145,48.7,3.0,-0.9534090256138296
237, X5,2015,28000,Automatic,36174,Diesel,205,47.1,3.0,0.9041305893631582
238, 3 Series,2018,22000,Semi-Auto,30000,Diesel,150,53.3,3.0,-0.6049031890424599
239, 1 Series,2016,16000,Manual,40125,Petrol,305,35.3,3.0,0.33181709125845443
240, 3 Series,2017,18000,Manual,20087,Petrol,165,44.8,2.0,1.353856582707385
241, X7,2020,78000,Semi-Auto,5000,Diesel,150,31.4,3.0,-0.47387351460677346
242, 3 Series,2018,22500,Semi-Auto,11150,Petrol,145,48.7,2.0,-0.12057381156117608
243, 1 Series,2018,15500,Manual,5827,Petrol,145,37.7,1.5,0.6986327835457697
245, 4 Series,2019,24700,Semi-Auto,5196,Diesel,145,65.7,2.0,-0.7868048339017655
247, 1 Series,2018,16000,Manual,7000,Diesel,145,50.4,1.5,0.29163156278945107
249, 1 Series,2019,32000,Semi-Auto,4493,Petrol,145,34.5,2.0,1.1986942666204508
250, X1,2018,20000,Semi-Auto,10545,Diesel,145,60.1,2.0,-0.37079357391123174
251, X1,2017,22000,Semi-Auto,16500,Petrol,145,44.8,2.0,-0.1318280169959207
252, 3 Series,2016,16998,Semi-Auto,43695,Hybrid,0,134.5,2.0,0.9528506347553237
253, X3,2015,17498,Semi-Auto,48867,Diesel,145,54.3,2.0,-0.5717631196358831
254, 1 Series,2017,15798,Semi-Auto,23157,Petrol,145,54.3,1.5,-0.09484829789497708
255, X1,2016,18998,Semi-Auto,30434,Diesel,125,57.6,2.0,0.466504812017956
257, 5 Series,2019,28000,Semi-Auto,5739,Diesel,145,62.8,2.0,-0.3221842351202258
258, X5,2017,41500,Automatic,18000,Diesel,145,42.8,3.0,0.34953063805923407
260, 4 Series,2017,20800,Semi-Auto,14774,Diesel,125,58.9,2.0,0.4897058025702264
262, 1 Series,2017,15500,Manual,15645,Petrol,125,52.3,1.5,-0.13247172043327604
263, X4,2016,25000,Semi-Auto,25085,Diesel,200,47.9,3.0,1.4574013608720036
264, 1 Series,2017,21500,Semi-Auto,19486,Petrol,145,39.8,3.0,0.9052989648681676
265, X2,2019,30000,Semi-Auto,5431,Diesel,145,48.7,2.0,-0.23257314688990974
267, 3 Series,2014,14000,Semi-Auto,73923,Diesel,160,52.3,3.0,2.3782715217519943
269, X4,2018,32000,Semi-Auto,10920,Diesel,150,42.8,2.0,-1.0167879416175039
270, 3 Series,2019,24300,Semi-Auto,8000,Petrol,150,44.8,2.0,-0.3639249048295018
271, 5 Series,2019,33000,Semi-Auto,12250,Diesel,150,53.3,3.0,1.236185172549911
272, X3,2016,20500,Semi-Auto,37000,Diesel,145,54.3,2.0,0.7890818230935146
273, 3 Series,2016,19000,Semi-Auto,40500,Diesel,145,53.3,3.0,0.1345900274566573
274, 3 Series,2017,18000,Semi-Auto,33000,Diesel,145,60.1,2.0,0.13214569250930622
277, 4 Series,2017,19800,Manual,17410,Petrol,150,40.9,2.0,0.26023799992959246
278, 1 Series,2017,13500,Manual,25975,Petrol,145,53.3,1.5,-1.159707944123685
279, 1 Series,2019,18500,Semi-Auto,12054,Petrol,150,54.3,1.5,1.4188145151901486
280, 1 Series,2014,9300,Manual,51203,Diesel,30,65.7,2.0,0.3319897607808727
281, X5,2019,50000,Semi-Auto,5145,Diesel,150,37.7,3.0,0.3867928982924108
282, 1 Series,2017,11800,Manual,23274,Diesel,20,72.4,1.5,-1.3220217219348824
283, 4 Series,2018,22000,Semi-Auto,10948,Diesel,145,60.1,2.0,-1.8326717475456995
284, 2 Series,2019,27500,Semi-Auto,7000,Petrol,145,38.2,3.0,0.8983585457153654
285, 5 Series,2019,28000,Semi-Auto,16000,Diesel,145,60.1,3.0,1.1629332978521498
286, 2 Series,2020,29000,Manual,5550,Petrol,145,43.5,1.5,0.39852884854709975
287, 3 Series,2014,16800,Semi-Auto,50687,Diesel,160,52.3,3.0,-0.45251112491471557
288, 3 Series,2013,15500,Semi-Auto,46500,Diesel,150,55.4,3.0,-0.1796199597961648
289, X1,2016,19300,Semi-Auto,25300,Diesel,125,60.1,2.0,0.17214671805923054
290, 1 Series,2017,16998,Semi-Auto,12458,Diesel,30,62.8,2.0,-0.8432305546833355
291, 1 Series,2017,21498,Semi-Auto,21200,Petrol,200,39.8,3.0,1.6916345748704438
292, 4 Series,2016,18998,Semi-Auto,20151,Diesel,145,53.3,3.0,-1.8096154207437856
293, X1,2017,18498,Manual,13278,Diesel,125,58.9,2.0,-1.101259009028435
297, 3 Series,2017,25500,Semi-Auto,14834,Diesel,145,51.4,3.0,-0.729124933390806
298, 3 Series,2016,18000,Semi-Auto,15088,Diesel,145,55.4,3.0,-0.4670268200204642
299, 1 Series,2017,16800,Semi-Auto,16761,Diesel,145,67.3,2.0,2.023541895829645
302, 3 Series,2019,34000,Semi-Auto,5525,Diesel,145,50.4,2.0,1.104008396742146
303, 3 Series,2017,24000,Semi-Auto,15338,Diesel,145,49.6,3.0,0.41189016730928085
304, 3 Series,2013,14990,Semi-Auto,35500,Diesel,145,55.4,2.0,0.8525881042082983
305, 5 Series,2017,30000,Semi-Auto,11086,Diesel,145,53.3,3.0,0.46133895444307427
306, 1 Series,2018,15800,Semi-Auto,11132,Petrol,145,55.5,1.5,1.3724390629058238
307, 1 Series,2018,16500,Semi-Auto,7656,Petrol,145,37.2,1.5,-0.07301243459527086
308, X3,2015,19500,Semi-Auto,41567,Diesel,145,54.3,2.0,0.2047530479409487
309, 5 Series,2019,40000,Semi-Auto,1034,Petrol,145,39.2,3.0,-0.3437961812305984
311, 3 Series,2017,20998,Semi-Auto,30422,Diesel,145,51.4,3.0,0.7698655523100588
312, 3 Series,2017,19698,Semi-Auto,20313,Diesel,145,56.5,3.0,0.0551304417938328
313, 3 Series,2016,21498,Semi-Auto,28775,Diesel,160,51.4,3.0,-0.7364962056511603
314, 3 Series,2015,17200,Semi-Auto,6147,Petrol,145,47.9,2.0,0.36784209577186755
315, X5,2013,24000,Automatic,45150,Diesel,200,45.6,3.0,0.6177810629928873
316, 1 Series,2019,26000,Manual,2073,Diesel,145,57.7,1.5,-0.3558396020235922
318, 4 Series,2020,27500,Semi-Auto,25,Diesel,145,60.1,2.0,-0.8140879954360323
319, X5,2019,52000,Semi-Auto,6500,Diesel,145,37.7,3.0,1.637545261200318
320, 4 Series,2019,32000,Semi-Auto,4025,Diesel,145,50.4,3.0,1.0265825296907056
321, 2 Series,2015,10498,Manual,27221,Diesel,0,74.3,1.5,-1.0233947578223497
322, 3 Series,2013,9985,Manual,75561,Diesel,20,68.9,2.0,-0.31893395070812397
324, 3 Series,2013,9965,Semi-Auto,95043,Diesel,30,62.8,2.0,2.122689637697783
326, 1 Series,2017,13489,Semi-Auto,59066,Diesel,20,72.4,1.5,-0.285959529741441
327, 3 Series,2016,13994,Semi-Auto,46889,Diesel,30,67.3,2.0,-0.529974239739728
328, 5 Series,2019,35950,Semi-Auto,5137,Diesel,145,51.4,3.0,0.11206650952071778
330, 5 Series,2019,34900,Semi-Auto,9854,Diesel,145,53.3,3.0,-0.008750730235140535
331, 7 Series,2018,42000,Semi-Auto,7123,Diesel,145,52.3,3.0,0.43815096600194803
332, 1 Series,2014,12000,Manual,41500,Diesel,125,57.6,2.0,0.1836563944294747
333, 1 Series,2016,14000,Manual,24678,Diesel,30,65.7,2.0,0.8668019690774398
334, M4,2019,48000,Semi-Auto,2258,Petrol,145,34.0,3.0,0.2041037792107037
335, 2 Series,2019,23950,Semi-Auto,4413,Diesel,145,46.3,2.0,0.0860858109908405
336, 4 Series,2019,26550,Semi-Auto,7292,Diesel,145,58.9,2.0,-1.1285533912211585
339, 1 Series,2017,13450,Manual,15663,Petrol,150,53.3,1.5,-0.6657708742493516
340, X5,2017,34990,Automatic,18000,Diesel,200,47.1,3.0,0.11076737165552525
342, 5 Series,2019,28500,Semi-Auto,3816,Diesel,145,62.8,2.0,1.1819155156122534
345, 4 Series,2019,27000,Semi-Auto,4406,Diesel,145,60.1,2.0,-1.3652520639916104
347, X2,2019,32000,Semi-Auto,10,Petrol,145,34.0,2.0,-1.0343253209340306
349, 3 Series,2013,9498,Semi-Auto,55701,Petrol,145,47.9,1.6,-0.2771931665526967
350, 1 Series,2018,23498,Semi-Auto,11131,Petrol,145,39.8,3.0,-1.5753908404630785
351, 3 Series,2020,51000,Semi-Auto,5000,Diesel,150,43.5,3.0,0.372392228473471
352, X3,2016,22000,Semi-Auto,25000,Diesel,150,54.3,2.0,-1.1008124659271996
353, 1 Series,2017,23000,Semi-Auto,18100,Petrol,150,39.8,3.0,0.29556904992714533
355, 3 Series,2017,17000,Semi-Auto,43362,Diesel,145,56.5,3.0,-0.08568244639031398
356, 1 Series,2017,11990,Manual,18435,Petrol,125,53.3,1.5,-0.37322331644156337
357, 1 Series,2019,16500,Semi-Auto,5000,Diesel,145,72.4,1.5,0.19737540100532577
358, X4,2018,40000,Semi-Auto,4135,Diesel,145,37.2,3.0,0.6159932401699255
359, 1 Series,2019,27000,Semi-Auto,1214,Diesel,145,51.4,2.0,-0.10567856456834117
360, M5,2019,72000,Semi-Auto,3545,Petrol,145,24.1,4.4,-0.18505392578583454
361, 3 Series,2017,19650,Semi-Auto,43267,Diesel,145,62.8,2.0,-0.4172966433034872
362, X5,2020,60990,Semi-Auto,3500,Diesel,145,33.6,3.0,1.267007519511686
363, 4 Series,2019,22500,Semi-Auto,5623,Diesel,145,65.7,2.0,-0.14999288538521344
365, 2 Series,2015,18700,Semi-Auto,43617,Petrol,265,37.2,3.0,-0.12886082098931156
367, 7 Series,2017,34000,Semi-Auto,25000,Diesel,150,53.3,3.0,-0.8380722067612804
369, 3 Series,2017,18300,Semi-Auto,20000,Diesel,150,62.8,2.0,0.4647683441293731
370, 4 Series,2015,15990,Semi-Auto,87597,Diesel,160,51.4,3.0,1.3177368719693765
371, 3 Series,2013,9995,Manual,74449,Petrol,200,41.5,2.0,-0.6026005742284327
372, X2,2019,23498,Semi-Auto,3241,Petrol,150,40.4,2.0,0.04259407484106038
373, 3 Series,2019,34450,Semi-Auto,3500,Diesel,145,45.6,3.0,-1.1301477260171644
374, X7,2019,67400,Semi-Auto,5600,Diesel,150,33.6,3.0,1.5394771701967884
375, 7 Series,2019,47990,Semi-Auto,7780,Petrol,145,34.5,3.0,0.10069158656579096
378, X1,2017,18998,Semi-Auto,26939,Diesel,145,65.7,2.0,0.7983713220996873
379, X1,2018,16995,Semi-Auto,17276,Petrol,150,46.3,1.5,1.354585336387011
380, 3 Series,2017,20998,Semi-Auto,26252,Diesel,145,51.4,3.0,0.4944848880957991
381, 3 Series,2017,15998,Semi-Auto,19675,Petrol,125,51.4,2.0,0.41901814504272494
382, 1 Series,2019,29000,Semi-Auto,100,Diesel,150,48.7,2.0,0.5677589124988209
384, X5,2017,29945,Automatic,30207,Diesel,200,47.1,3.0,-1.4065128045165867
385, 5 Series,2018,24595,Semi-Auto,28502,Diesel,145,65.7,2.0,0.5816250206719992
386, 5 Series,2014,13990,Semi-Auto,73837,Diesel,160,51.4,3.0,-0.6197742913833592
387, 3 Series,2017,14990,Semi-Auto,48604,Diesel,30,67.3,2.0,-0.12967864917911384
389, 5 Series,2013,10495,Semi-Auto,83380,Diesel,125,57.6,2.0,0.9967013438517855
390, 4 Series,2018,22595,Semi-Auto,18937,Petrol,145,48.7,2.0,0.36681311516189163
391, 3 Series,2019,27995,Semi-Auto,2460,Diesel,145,53.3,2.0,1.1164871283129043
392, X1,2016,17298,Semi-Auto,48697,Diesel,125,57.6,2.0,-0.38584580152646575
393, X1,2018,16995,Semi-Auto,17276,Petrol,150,46.3,1.5,-1.5312667288441237
394, X1,2017,17995,Manual,23692,Diesel,125,58.9,2.0,0.6265514343778261
395, 5 Series,2017,21998,Semi-Auto,25260,Diesel,145,60.1,2.0,-0.9829022676628029
398, 1 Series,2017,13798,Manual,34446,Diesel,145,65.7,2.0,1.0184799624632763
401, M4,2020,50000,Semi-Auto,700,Petrol,145,34.0,3.0,-0.5179862968919706
403, 3 Series,2016,22000,Semi-Auto,31250,Diesel,165,51.4,3.0,-1.0979161942821283
405, 3 Series,2015,18500,Semi-Auto,38218,Diesel,165,51.4,3.0,-0.5739153946449346
406, 3 Series,2019,28000,Automatic,6148,Diesel,145,52.3,2.0,-0.4471515469886795
408, X3,2015,17000,Semi-Auto,35500,Diesel,200,47.9,3.0,0.30042078531580413
409, X3,2014,14495,Semi-Auto,56787,Diesel,150,54.3,2.0,-0.7714649204999157
410, 1 Series,2016,16200,Semi-Auto,13369,Diesel,20,68.9,1.5,-1.0193721282798807
411, 2 Series,2018,19000,Semi-Auto,3764,Petrol,145,53.3,1.5,-0.13708180029266068
412, 4 Series,2017,17495,Manual,13471,Petrol,145,46.3,2.0,0.6193085271463429
413, i8,2016,48998,Automatic,10087,Hybrid,0,134.5,1.5,1.1079498489665804
418, M2,2016,31000,Semi-Auto,14712,Petrol,260,35.8,3.0,2.1165514439869044
420, 5 Series,2018,30500,Semi-Auto,9671,Petrol,145,39.2,3.0,1.2282276721573688
