revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
48.53,0,0,10,297,1,1,0,0,1,2,1
85.44,0.67,0.67,34,1022,0,0,0,1,1,1,1
19.59,0,0,37,1117,0,0,0,1,1,1,1
36.44,14.33,2.67,15,255,1,0,0,0,0,2,1
78.43,39.67,3,23,396,1,0,0,0,1,2,1
10.25,2.67,1,12,344,1,0,0,0,1,2,1
74.82,10.33,1,11,139,1,0,0,0,0,2,1
5,0,0,36,1091,0,0,0,0,1,1,1
56.63,13,1.33,21,259,1,0,0,0,0,2,1
110.89,5,0,8,60,1,0,0,0,0,2,1
23.12,2.33,4,36,1081,0,1,0,0,1,1,1
37.75,3.67,0,29,872,0,0,0,0,0,1,1
55.39,4,0,33,990,0,1,0,0,1,1,1
29.99,0,0,34,1022,0,1,0,1,1,1,1
91.52,35.33,12,28,822,0,0,0,0,0,1,1
70.89,29.33,7.33,39,943,0,0,0,0,0,1,1
13.25,0,0,28,865,0,0,0,0,0,1,1
35.24,17,2,14,278,1,1,0,0,1,2,1
75.84,19.67,7.33,12,220,1,1,0,0,1,2,1
243.49,21.33,4.67,33,960,1,0,0,0,1,1,1
70.53,42.33,21.67,28,324,1,0,0,0,0,2,1
30.24,2.33,0,32,955,0,0,0,1,1,1,1
34.22,4.33,0,33,953,0,1,0,1,1,1,1
41.31,1,0,31,922,0,0,0,0,1,1,1
19.39,3,0,14,146,1,0,0,0,0,2,1
58.16,15.33,2.33,25,738,0,0,0,0,0,1,1
4.8,0,0,26,794,0,0,0,0,0,1,1
184.75,144.33,56.67,11,194,1,0,0,0,1,2,1
36.75,0,0,29,889,0,1,0,0,1,1,1
97.6,22.33,2.67,22,655,0,0,0,0,0,1,1
67.41,15.33,0.67,21,247,1,1,0,0,1,2,1
29.99,2.67,0.33,35,1041,1,0,0,0,0,1,1
13.25,0,0,38,263,0,1,0,1,1,2,1
46.57,7,3,26,285,1,0,0,0,1,2,1
64.4,13.67,3.33,22,119,1,0,0,0,0,2,1
132.34,77,6,18,114,1,0,0,0,1,2,1
34.09,1.33,0,21,648,0,1,0,0,0,1,1
41.75,7.33,0,36,1088,1,1,0,0,1,1,1
38.99,1.67,0,27,801,0,0,0,0,1,1,1
95.49,13.67,3,16,-2,1,0,0,0,0,2,1
30.09,1.67,0,36,1084,1,0,0,0,1,1,1
6.5,0,0,28,832,0,0,0,1,1,1,1
44.09,1.67,0.33,30,902,1,0,0,0,0,1,1
31.24,0,0,9,86,1,1,0,0,1,2,1
111.7,57,4.67,53,1592,0,0,0,0,0,0,1
88.15,37.33,16.33,13,98,1,0,0,0,1,2,1
50.44,17.67,12.67,35,773,0,0,0,0,0,1,1
34.22,17.33,4.33,26,773,0,1,0,0,1,1,1
30.01,4,0.67,25,755,0,1,0,0,1,1,1
38.74,4,0,24,732,0,0,0,0,1,1,1
52.55,14.33,0,28,839,1,0,0,0,0,1,1
29.99,0,0,12,82,1,0,0,0,1,2,1
50,6,0.67,23,689,0,1,0,0,1,1,1
25.17,9.67,0.33,34,1022,1,1,0,0,1,1,1
88.06,8.67,0,15,39,1,0,0,0,1,2,1
35.78,15.67,7.33,29,871,1,0,0,0,0,1,1
295.52,11,0.67,14,412,1,0,0,0,0,1,1
15,0.33,2,34,1023,1,1,0,0,1,1,1
29.99,7,0,27,822,1,0,0,0,0,1,1
36.4,12.67,12.33,30,883,1,0,0,0,0,1,1
90.61,19.33,15,54,1599,0,0,0,0,0,0,1
37.27,27.33,3,18,532,0,0,0,0,0,1,1
30.25,2,0,21,561,0,0,0,0,0,1,1
6.49,4.67,2,24,722,0,0,0,1,1,1,1
33.59,10,1,23,678,0,0,0,0,1,1,1
56.28,3.33,0,51,1548,0,0,0,0,0,0,1
30,4,0,23,672,0,0,0,0,1,1,1
42.24,10.33,7.67,27,811,1,0,0,0,0,1,1
80.26,17,3.33,50,1515,0,0,0,0,0,0,1
15,2.33,1,22,675,0,1,0,0,1,1,1
19.27,31,7.33,15,96,1,1,0,0,1,2,1
19.6,1.33,0.33,23,678,0,0,0,1,1,1,1
68.6,20.33,0,30,884,1,0,0,0,1,1,1
62.53,19.33,1,25,737,1,0,0,0,0,1,1
60.29,15,1.67,20,596,0,1,0,0,1,1,1
43.57,27,6.33,26,780,1,1,0,0,0,1,1
63.74,48.33,11.33,21,630,0,0,0,1,1,1,1
147.59,53,21.33,25,88,1,0,0,0,1,2,1
58.49,41,23,39,855,0,0,0,0,1,1,1
50.49,21.67,4.67,56,1698,0,1,0,0,1,0,1
14.19,0,0,32,232,1,0,0,0,1,2,1
4.84,0,0,21,643,0,1,0,0,1,1,1
186.17,36,1.33,17,498,1,0,0,0,0,1,1
24.39,6,0.33,13,13,1,1,0,0,1,2,1
41.54,18.67,4.67,24,731,1,0,0,0,0,1,1
36.25,0,0,51,1523,0,0,0,0,0,0,1
30,0,0,55,1669,0,1,0,0,1,0,1
30.38,3.33,0,29,877,1,1,0,1,1,1,1
60,0,0,49,1470,0,0,0,0,0,0,1
47.92,2,0.33,22,680,1,0,0,0,0,1,1
102.82,1,0,40,91,1,0,0,0,0,2,1
22.49,7,0.67,24,726,1,0,0,0,0,1,1
45.39,12.67,1.67,34,195,1,1,0,1,1,2,1
26.33,7,2.33,28,862,1,1,0,0,1,1,1
40,0.33,0,48,1462,0,0,0,0,0,0,1
45.48,17,7,21,483,0,1,0,1,0,1,1
30.27,17.67,37,19,566,0,0,0,0,0,1,1
17.81,0.33,0,28,856,1,1,0,0,1,1,1
51.33,3.33,0,22,654,1,0,0,0,0,1,1
30.73,7,0,24,604,0,1,0,0,1,1,1
46.96,25.33,9,23,692,1,0,0,0,0,1,1
53.43,0.33,0,53,1592,0,1,0,1,1,0,1
32.53,3.33,3.33,27,832,1,0,0,0,1,1,1
29.99,2.33,0.33,18,538,0,1,0,0,1,1,1
39.59,17.33,8.33,29,664,0,1,0,0,1,1,1
10.68,0,0,19,564,0,0,0,1,1,1,1
58.6,5,0,21,622,1,0,0,0,0,1,1
79.5,16,0.33,22,607,1,0,0,0,0,1,1
7.12,0.33,0,54,1638,0,1,0,1,1,0,1
34.63,0,0,27,805,1,0,0,0,1,1,1
23.57,10.67,0.67,28,828,1,1,0,0,1,1,1
30.2,5,6,28,837,1,0,0,0,1,1,1
65.56,4.67,0.33,25,750,1,0,0,1,1,1,1
60.2,10.67,1,19,592,1,0,0,0,0,1,1
150,0,0,16,458,1,0,0,0,0,1,1
47.04,1.33,0.67,25,766,1,1,0,0,1,1,1
35,0,0,53,1585,0,0,0,0,1,0,1
23.5,0,0,53,1595,0,1,0,1,1,0,1
33.74,0,0.33,26,784,1,0,0,0,1,1,1
102.4,23.67,0,22,658,1,0,0,0,1,1,1
2.54,0,0,53,1608,0,0,0,0,1,0,1
50,0,0,51,1535,0,0,0,0,1,0,1
10,0,0,27,809,1,0,1,0,1,1,1
135.13,25,0.33,46,1390,0,1,0,0,1,0,1
5,0,0,17,516,0,1,0,0,1,1,1
35.07,26.67,4.33,20,617,1,0,0,0,0,1,1
139.27,86,22,27,18,1,0,0,0,1,2,1
91.89,55,8.33,23,695,1,0,0,0,1,1,1
36.3,22.33,1,21,609,1,0,0,0,0,1,1
29.99,1.67,0,25,756,1,1,1,1,1,1,1
26.64,5.33,0,16,473,0,0,0,0,1,1,1
40.06,7.33,0.33,25,745,1,1,0,0,1,1,1
67.49,2.33,1,24,706,1,0,0,0,1,1,1
20.99,12.33,4,26,785,1,0,0,0,1,1,1
85.09,7.33,5,33,786,1,0,1,1,1,1,1
45.56,0,0,45,1356,0,0,0,0,0,0,1
26.61,6.67,0,25,750,1,1,0,1,1,1,1
68.6,35.67,7.67,18,546,1,0,0,0,0,1,1
53.26,5,0,23,694,1,0,0,0,1,1,1
63.48,0,0,24,500,0,0,1,1,1,1,1
33.07,7,0.67,18,561,1,0,0,0,0,1,1
28.47,8,0,10,287,0,0,0,0,0,1,1
41.09,11,0,49,1493,0,0,0,0,1,0,1
70.98,31.67,13,18,555,1,0,0,0,0,1,1
31.8,2.33,0.33,15,437,0,1,0,0,1,1,1
5.05,0,0,20,607,1,0,0,0,0,1,1
41.97,4.67,1.33,24,417,0,0,0,0,0,1,1
79.56,42.33,4.67,49,1462,0,1,0,0,1,0,1
84.63,23,1.67,43,1282,0,0,0,0,0,0,1
166.57,13.67,2,11,148,0,0,0,0,0,1,1
35.8,2,0,24,715,1,0,1,1,1,1,1
109.84,37.67,9,16,474,1,0,0,0,0,1,1
115.59,55.33,23.33,22,676,1,0,0,0,1,1,1
29.99,2.67,0.67,19,566,1,0,0,0,0,1,1
23.49,3.33,0,25,736,1,1,0,0,1,1,1
85.59,31.67,4.67,21,638,1,0,0,0,1,1,1
78.36,14,0,16,475,1,0,0,0,0,1,1
32.67,0.67,0,23,700,1,1,1,1,1,1,1
47.59,17.33,2.33,13,394,0,0,0,0,1,1,1
39.25,10,0,18,537,1,0,0,0,0,1,1
76.99,29.33,7.33,18,518,1,0,0,0,0,1,1
31.06,1,0,50,1500,0,1,0,0,1,0,1
37.74,7,0.67,13,397,0,1,0,0,1,1,1
17.29,0,0,45,1360,0,0,0,0,0,0,1
38.25,43.33,12.33,25,749,1,0,0,1,1,1,1
16.3,8,2,25,741,1,0,0,0,1,1,1
89.13,0,0,15,449,1,0,0,0,0,1,1
29.99,2.67,0.33,23,699,1,1,0,0,1,1,1
197.09,54.67,3,14,431,1,1,0,0,1,1,1
89.48,31.67,7.67,16,480,1,0,0,0,0,1,1
174.13,0,0,15,455,1,0,0,0,1,1,1
10,0,0,24,726,1,0,0,0,1,1,1
75.24,4.33,0,27,582,1,0,0,0,0,1,1
119.66,59.67,9.67,33,432,0,0,0,0,0,1,1
10.09,1,1,24,726,1,1,0,1,1,1,1
28.36,0,0,23,692,1,0,0,0,1,1,1
28.45,1.33,1,26,12,1,0,0,0,1,2,1
63.52,12.67,2,16,482,1,1,0,0,0,1,1
5,0,0,20,579,1,0,0,0,0,1,1
29.99,0,0,44,1321,0,0,0,0,0,0,1
34.99,0,0,44,1315,0,0,0,0,0,0,1
212.6,165.67,22,17,490,1,1,0,0,1,1,1
861.11,0,0,7,224,1,0,0,0,0,0,1
35.34,0,2,48,1462,0,1,0,1,1,0,1
29.99,1.33,0,17,424,0,1,0,0,1,1,1
39.99,31.33,2.33,17,509,1,0,0,0,0,1,1
125.39,23.33,0,12,352,1,0,0,0,0,1,1
26.94,0,0,48,1455,0,0,0,1,1,0,1
20,0.33,0,49,1472,0,0,0,0,1,0,1
26.49,39,0,22,664,1,1,0,1,1,1,1
21.5,1.33,0,48,1458,0,1,0,1,1,0,1
52.88,23,2,21,629,1,0,0,1,1,1,1
19.62,0,0,17,513,1,0,0,0,0,1,1
54.57,1.33,0,41,1242,0,0,0,0,0,0,1
18.99,2,0,23,676,1,0,0,0,1,1,1
66.71,13.67,3,15,447,1,0,0,0,0,1,1
95.8,14.33,0.67,24,411,0,0,0,0,1,1,1
135.07,131,19,18,554,1,0,0,0,1,1,1
60.06,4,1.67,30,707,1,0,0,1,1,1,1
59.99,0.67,0,15,443,1,0,0,0,0,1,1
17.15,0,0,47,1444,0,1,1,1,1,0,1
50,2.33,0.67,21,620,1,1,0,0,1,1,1
21.55,3.67,0,48,1448,0,1,0,0,1,0,1
190.71,29,14.33,29,589,1,1,0,0,1,1,1
65.08,16.67,4.67,15,448,1,0,0,0,0,1,1
46.64,2,0.67,41,1245,0,0,0,0,0,0,1
24.23,2,0,11,345,0,0,0,0,1,1,1
37.76,1.67,0,21,627,1,0,1,0,1,1,1
29.99,2.67,0,48,1436,0,0,0,0,1,0,1
16.78,0,0,18,514,1,0,0,0,0,1,1
74.85,0,0,14,409,1,0,0,0,0,1,1
36.42,0,0,47,1415,0,1,0,0,1,0,1
47.5,24.33,22,49,1490,0,1,0,0,1,0,1
142.46,39,2,36,1088,0,0,0,0,0,0,1
10,0,0,23,672,1,1,1,0,1,1,1
48.52,14,1,20,602,1,0,0,0,1,1,1
52.58,5,2.33,24,540,1,0,0,0,0,1,1
31.04,2.67,0,22,638,1,1,0,1,1,1,1
34.28,3,3.33,46,1413,0,1,0,1,1,0,1
136.36,4,0,10,294,1,1,0,0,0,1,1
2.7,0,0,23,677,1,0,0,0,1,1,1
20,0.33,0,48,1437,0,1,0,0,1,0,1
60.78,1,0,44,1351,0,1,0,0,1,0,1
29.99,0.67,0,46,1404,0,1,0,0,1,0,1
103.27,2.67,0.67,43,1295,0,0,0,0,1,0,1
101.52,50.33,15,19,570,1,0,0,0,1,1,1
16.99,0,0,47,1427,0,1,0,0,1,0,1
35.19,49.33,22.33,19,561,1,0,0,0,0,1,1
34.99,1,0,47,1407,0,1,0,0,1,0,1
11.87,0,0,21,448,0,0,0,1,1,1,1
22.49,8.33,1,20,619,1,0,0,1,1,1,1
30.27,0.33,0,35,567,0,0,0,0,1,1,1
20.53,0,0,20,615,1,0,0,0,1,1,1
31.52,0.33,0,10,306,0,1,0,0,1,1,1
30.1,10.67,10.33,26,698,1,1,0,0,1,1,1
50.25,14.67,0,46,1371,0,1,0,1,1,0,1
20.66,12.33,0,21,623,1,0,1,0,1,1,1
26.73,7.67,0,46,1396,0,1,0,1,1,0,1
51.87,2.67,0.33,13,403,1,0,0,0,0,1,1
10,0,0,17,489,1,0,0,0,0,1,1
40.56,1.33,0,40,1214,0,0,0,0,0,0,1
39.99,9.67,0.67,46,1381,0,1,0,0,1,0,1
24.94,0,0,41,1240,0,0,0,0,0,0,1
30.62,7,0,45,1378,0,1,0,1,1,0,1
22.5,10,5.33,21,633,1,0,0,0,1,1,1
31.96,1.33,0.33,19,586,1,1,1,1,1,1,1
60.98,37.67,0,13,387,1,0,0,0,0,1,1
19.95,0,0,47,1407,0,0,0,0,1,0,1
44.8,18,16.33,21,639,1,0,0,0,1,1,1
48.11,17,2,40,1206,0,0,0,0,0,0,1
74.51,63,13.33,14,421,1,0,0,0,0,1,1
35.02,12,1.33,41,1228,0,0,0,0,0,0,1
253.47,84.33,1,28,333,1,1,0,0,0,1,1
15.24,16,1.67,18,489,1,0,0,0,0,1,1
60.11,43.67,13.33,43,541,0,0,0,0,0,1,1
53.24,0,0,13,390,1,0,0,0,0,1,1
55.81,12.67,0.67,13,389,1,0,0,0,0,1,1
54.45,12,0.33,13,387,1,0,0,0,0,1,1
75.77,18.67,6,13,379,1,0,0,0,0,1,1
111.26,26.33,6.67,16,476,1,0,0,0,1,1,1
71.86,18.33,0,27,419,0,1,0,0,1,1,1
29.99,0,0,14,420,1,0,0,0,0,1,1
67.34,62,28.33,22,651,1,1,0,0,1,1,1
32.28,2.67,0,45,1362,0,1,0,0,1,0,1
71.76,2.67,1.67,17,513,1,0,0,1,1,1,1
12.99,0,0,25,552,1,0,0,0,0,1,1
22.43,4.33,0,10,295,0,1,0,0,1,1,1
40.6,2.33,0.33,14,408,1,0,0,0,0,1,1
25.79,0,0.33,46,1379,0,0,0,0,1,0,1
10.24,0,0,15,448,1,0,0,0,0,1,1
45.24,2.67,0,38,1169,0,0,0,0,0,0,1
36.38,10,3,39,1197,0,1,0,0,0,0,1
44.5,6.67,1.33,14,403,1,0,0,0,0,1,1
51.53,4,0,18,534,1,1,0,0,1,1,1
33.5,3,0,45,1354,0,1,1,1,1,0,1
29.99,0.67,0,45,1357,0,0,0,1,1,0,1
8.5,0,0,41,1236,0,1,0,0,0,0,1
16.99,0,0,58,1504,0,1,0,1,1,0,1
64.27,31.33,2,13,366,1,0,0,0,0,1,1
20.65,1.67,0,45,1361,0,1,0,0,1,0,1
74.99,69,11,36,528,0,0,0,0,1,1,1
19.95,0,0,45,1359,0,1,0,0,1,0,1
29.99,0.33,0,45,1348,0,1,0,0,1,0,1
59.57,28.67,3.33,17,513,1,1,0,0,1,1,1
32.29,6.33,0,38,1167,0,0,0,0,0,0,1
25.91,0,0,18,548,1,0,0,0,1,1,1
51.89,30.67,0.33,16,498,1,0,0,0,1,1,1
25.49,0,0,45,1347,0,1,1,0,1,0,1
17.84,8.33,0,39,1190,0,0,0,0,0,0,1
14.33,0,1.33,40,1208,0,0,0,0,0,0,1
76.05,57.67,0.33,45,1381,1,0,0,0,0,0,1
196.29,30.67,0.67,35,1057,0,1,0,0,1,0,1
59.77,16.67,0.33,42,1276,0,1,0,1,1,0,1
24.99,1.33,0,33,596,1,0,0,0,0,1,1
101.1,23.67,7,15,450,1,0,0,1,1,1,1
50.49,15.33,2.67,12,356,1,0,0,0,0,1,1
49.55,4.67,1.33,12,350,1,0,0,0,0,1,1
55.11,16,4.67,12,354,1,0,0,0,0,1,1
29.99,9.33,3,14,397,1,0,0,0,0,1,1
20.53,1,0,45,1343,0,1,0,1,1,0,1
41.71,10.67,0.67,37,4,1,0,0,0,1,2,1
31.76,2,0,43,1308,0,1,0,1,1,0,1
93.05,0,0,14,419,1,0,0,0,1,1,1
40.91,8,0.67,18,519,1,0,0,0,1,1,1
32.25,7,0,20,444,1,0,0,0,0,1,1
32.27,10,2,12,366,1,0,0,0,0,1,1
16.99,0,0,45,1342,0,0,0,0,1,0,1
45.04,63.33,4.67,18,525,1,0,0,0,1,1,1
61.04,13,0.33,33,547,1,0,0,0,0,1,1
33.25,0,0,37,1138,0,0,0,0,0,0,1
35.09,1.33,0,13,366,1,0,0,0,0,1,1
39.99,2,0,17,504,1,1,0,0,1,1,1
50.73,7.67,0,17,492,1,0,0,0,1,1,1
29.99,48.33,0,38,1150,0,0,0,0,0,0,1
37.59,9.67,3,17,322,0,1,0,1,1,1,1
26.67,0.67,0,44,1318,0,1,0,0,1,0,1
46.84,18,1,11,333,1,0,0,0,0,1,1
16.99,0,0,44,1328,0,1,0,0,1,0,1
30.3,0,0,44,1313,0,1,0,0,1,0,1
20.12,14,4.33,13,392,1,0,0,0,0,1,1
50.47,20,0.67,23,554,1,1,0,1,1,1,1
81.03,112.67,4.33,20,398,1,0,0,0,0,1,1
59.91,11.67,0,41,1249,0,1,1,1,1,0,1
52.23,13.33,0,11,320,1,0,0,0,0,1,1
31.02,0.67,0,17,507,1,0,0,1,1,1,1
29.99,2,2.67,39,1162,0,0,0,0,0,0,1
59.29,38,1,12,323,1,0,0,0,0,1,1
63.49,0.33,0,41,1239,0,1,0,0,1,0,1
55.72,2.67,0,28,296,0,0,0,0,0,1,1
25.18,0,0,42,1291,0,0,0,1,1,0,1
19.99,0,0,43,1307,0,0,0,0,1,0,1
55.22,12,0.33,16,469,1,1,0,0,1,1,1
80.19,4.67,4.67,14,434,1,0,0,0,1,1,1
37.11,10.33,2.33,42,1284,0,0,0,1,1,0,1
60.11,17.33,6,11,325,1,0,0,0,0,1,1
30.25,0,0,42,1284,0,0,1,0,1,0,1
31.44,0.67,0,43,1293,0,1,0,0,1,0,1
14.13,7,3.33,19,552,1,0,0,0,1,1,1
18,0,0.67,38,1154,0,0,0,0,0,0,1
40.59,6.67,0.33,11,327,1,0,0,0,0,1,1
25.2,18,19.33,20,597,1,0,0,0,1,1,1
50.24,27.33,5,11,330,1,0,0,0,0,1,1
11.62,0.67,0,45,812,1,0,1,1,1,1,1
62.35,50.33,20,13,383,1,0,0,0,0,1,1
46.49,16.33,0,19,401,1,0,0,0,0,1,1
30.26,4.67,0,24,380,0,0,0,0,1,1,1
17.15,0,0,37,1140,0,0,0,0,0,0,1
18.99,17.33,0,12,358,1,0,0,0,0,1,1
37.36,6.33,1.33,12,342,1,0,0,0,0,1,1
39.99,0,0,12,335,1,0,0,0,0,1,1
41.84,16,5,12,348,1,0,0,1,0,1,1
37.31,10,1.67,16,487,1,0,0,0,1,1,1
66.9,10.33,1.67,36,1080,0,0,0,0,0,0,1
21.8,3,0,42,1287,0,1,0,0,1,0,1
45.84,12.33,8.33,12,351,1,0,0,0,0,1,1
72.6,26.33,13.33,16,481,1,0,0,0,1,1,1
57.34,0.67,0,19,385,1,0,0,0,0,1,1
5,0,0,43,1313,0,1,0,0,1,0,1
10,0,0,43,1307,0,1,0,1,1,0,1
50.44,0,0,41,1242,0,1,1,0,1,0,1
57.27,31.67,1.67,16,356,1,0,0,0,0,1,1
21.31,8.33,0,43,1293,0,0,0,0,1,0,1
86.97,0,0,39,1180,0,0,0,0,1,0,1
16.99,0,0,42,1287,0,0,0,0,1,0,1
22.13,7,9,13,384,1,0,0,0,0,1,1
50.5,24,9.33,21,437,1,0,0,0,0,1,1
30.38,7.67,0,12,336,1,0,0,0,0,1,1
36.96,0,0,10,308,1,0,0,0,0,1,1
28.69,1,0,42,1272,0,1,0,0,1,0,1
158.49,42.67,1.67,10,282,1,1,1,0,1,1,1
15,0,0,43,1295,0,0,0,1,1,0,1
68.66,88.67,12,16,472,1,1,0,0,1,1,1
17.99,0.67,0,43,1291,0,1,0,1,1,0,1
30.1,110,23,19,577,1,1,0,1,1,1,1
40.14,0.67,0,11,310,1,0,0,0,0,1,1
78.39,32.33,0,13,391,1,0,0,0,1,1,1
37.59,27.33,12.33,13,368,1,0,0,0,0,1,1
75.9,33.33,19.67,45,69,1,0,0,0,1,2,1
27.68,18.67,1,10,313,1,0,0,0,0,1,1
84.1,9,3.67,39,1183,0,1,0,0,1,0,1
34.99,1.33,0,22,335,0,0,1,1,1,1,1
30.62,65.67,14.33,13,380,1,0,0,0,0,1,1
68.97,47.33,2,39,479,0,1,0,0,1,1,1
133,63.67,1,32,944,0,0,0,0,0,0,1
58.59,41.33,14.67,37,1118,0,0,0,0,0,0,1
52.02,6,0.33,36,1070,0,0,0,0,0,0,1
29.99,0,0,41,1247,0,1,1,0,1,0,1
33.24,7.33,0.33,15,454,1,0,0,0,1,1,1
47.09,19.67,4.33,10,296,1,0,0,0,0,1,1
49.99,2.67,0,15,434,1,1,0,0,1,1,1
54.34,82,35,19,577,1,0,1,1,1,1,1
54.31,25,3,28,573,1,0,0,0,1,1,1
39.85,18.33,7.33,10,312,1,0,0,0,0,1,1
94.23,42,1.33,13,368,1,1,0,1,1,1,1
43.98,14,1.33,20,495,1,0,0,0,1,1,1
42.38,33,15.33,17,507,1,0,0,0,1,1,1
16.52,0,0,41,1258,0,0,0,0,1,0,1
82.23,0,0,33,1000,0,0,0,0,0,0,1
33.04,17.33,5,15,464,1,0,0,0,1,1,1
58.45,26.67,11,25,455,1,0,0,0,0,1,1
10.1,1.33,0.33,12,340,1,0,0,0,0,1,1
40.02,5.33,0,14,429,1,1,0,0,1,1,1
90.76,6.33,0,12,353,1,1,0,0,1,1,1
92.5,8,0.33,37,1131,0,0,1,0,1,0,1
64.48,6.67,0.67,14,403,1,1,0,1,1,1,1
33.66,12.33,2.67,41,1243,0,1,1,1,1,0,1
31,0,0,36,1083,0,0,0,0,0,0,1
141.12,64.67,0.67,31,913,0,0,0,0,0,0,1
59.99,0,0,14,404,1,0,0,0,1,1,1
34.36,10.33,2.67,22,420,1,0,0,0,0,1,1
28.63,0,0,35,1073,0,0,0,0,0,0,1
42.01,9.67,3.67,40,1224,0,1,1,1,1,0,1
31.65,4,0.67,40,1226,0,1,0,0,1,0,1
26.17,10.33,0.67,15,452,1,1,0,1,1,1,1
44.16,6.67,0.33,41,1221,0,0,0,0,1,0,1
24.78,0,0,41,1241,0,0,0,0,1,0,1
21.22,0,0,15,454,1,0,0,0,1,1,1
56.11,0.67,0,13,395,1,1,0,0,1,1,1
170.83,94.67,37.67,7,219,1,0,0,0,0,1,1
84.81,37.67,6.33,13,381,1,0,0,0,1,1,1
16.15,0,0,41,1247,0,1,0,1,1,0,1
38.04,11.67,0.33,35,1059,0,0,0,0,0,0,1
173.96,146.33,38,7,214,1,0,0,0,0,1,1
38.95,5,0,40,1211,0,1,0,1,1,0,1
36.49,16.67,0,14,423,1,0,0,0,1,1,1
45.51,22.33,0.33,14,414,1,1,0,1,1,1,1
26.24,0,0,15,443,1,1,0,0,1,1,1
75.31,2.33,0,12,358,1,1,0,1,1,1,1
26.96,37.33,6,29,605,1,1,0,0,1,1,1
30.74,0.67,0,14,426,1,0,0,0,1,1,1
18.83,0.33,0,35,1074,0,0,0,0,0,0,1
5,0,0,45,1295,0,1,0,0,1,0,1
20.6,0,0,46,1378,1,0,0,0,0,0,1
30.26,14,9.33,41,1253,0,1,0,0,1,0,1
158.96,56.33,14.67,7,153,1,0,0,0,0,1,1
15,0,0,41,1241,0,0,0,0,1,0,1
156.85,20.67,0.33,8,224,1,1,0,0,1,1,1
60.73,1.33,0,12,369,1,1,0,0,1,1,1
10.52,0,0,41,1245,0,1,0,0,1,0,1
39.97,3.67,0,16,330,1,0,0,0,0,1,1
38.05,9,0,8,249,1,0,0,0,0,1,1
45.48,25.33,3.33,14,416,1,0,0,0,1,1,1
44.67,1,0.67,13,398,1,0,0,0,1,1,1
8.13,0.67,0,24,447,1,0,0,0,0,1,1
40.38,60.33,27,12,367,1,0,0,0,0,1,1
30.49,4,0.33,15,430,1,1,1,1,1,1,1
30.76,5,0,41,1218,0,0,0,0,1,0,1
36.46,0.67,0,40,1200,0,0,0,0,1,0,1
34.99,5.33,0,40,1201,0,0,1,1,1,0,1
24.59,0.67,0.67,41,1224,0,0,0,0,1,0,1
30.24,2.33,0.33,14,416,1,1,0,0,1,1,1
37.49,0.67,0,13,396,1,0,0,0,1,1,1
